name,Vimeo Connection to Map,Reference ID,Strategy Categories,Strategy Name,Lacrosse Lab Link (JSONB Array),description (Combined),Paste Embed Code in This Column (JSONB Array)
"Ohio State Pairs Offense","103","103","Offense","Ohio State Pairs","[""https://lacrosse.labradorsports.com/play?l=fL7vOjiUFsWXBVFy0jPE"",""https://lacrosse.labradorsports.com/play?l=3GGGQRB7leGwWjJO9OFM"",""https://lacrosse.labradorsports.com/play?l=3eWxerjyv3dYcTxU3U7Q"",""https://lacrosse.labradorsports.com/play?l=RYhplyJfI7MVkMfWpOsx"",""https://lacrosse.labradorsports.com/play?l=UrBJGahJyAaeSw0BKfVg"",""https://lacrosse.labradorsports.com/play?l=ne5TUw1r1SxM9Lr4v8Em"",""https://lacrosse.labradorsports.com/play?l=qMkFJLUBXLPn14OlPsqY"",""https://lacrosse.labradorsports.com/play?l=ioiVsXx9V1wLKUGcboQ7"",""https://lacrosse.labradorsports.com/play?l=Kwj6fFoGU7xzkIRzYcRZ"",""https://lacrosse.labradorsports.com/play?l=TtfxoS7ZZuxxuvO3r65z"",""https://lacrosse.labradorsports.com/play?l=Mn6vNPZnTw3weeXHVmKV"",""https://lacrosse.labradorsports.com/play?l=hjejzBTnJZNsaeYKheZ7"",""https://lacrosse.labradorsports.com/play?l=Kk6qsdR1dA9mHKJYsgjY"",""https://lacrosse.labradorsports.com/play?l=0HIUEAZxFFKktIB9lQ6T"",""https://lacrosse.labradorsports.com/play?l=zwu7li9t9Z8yDIAt3Spv"",""https://lacrosse.labradorsports.com/play?l=mIsqglhesxzNJuat6onk""]","The Ohio State Pairs offense is a motion offense that utilizes 3 groups of 2 players.

In this motion -  one player will dodge while the other shallow cuts underneath them | The Ohio State Pairs offense is a motion offense that utilizes 3 groups of 2 players.

This is a read and react example with no picks. | The Ohio State Pairs offense is a motion offense that utilizes 3 groups of 2 players.

This is a ""read and react"" example incorporates picks and mumbos. | The Ohio State Pairs offense is a motion offense that utilizes 3 groups of 2 players.

We will run these rotations with an opposite wing mirror.

As the player dodges -   the nearest player will cut the middle while the other fills as the outlet. | The Ohio State Pairs offense is a motion offense that utilizes 3 groups of 2 players.

We will run these rotations with an opposite wing mirror.

As the player dodges -  the exterior player will cut the middle while the inside player pops to the outside. | The Ohio State Pairs offense is a motion offense that utilizes 3 groups of 2 players.

We will run these rotations with an opposite wing mirror.

As the player dodges -   the nearest player will fade to 10x12 and the other will cut to the back pipe. | The Ohio State Pairs offense is a motion offense that utilizes 3 groups of 2 players.

We will run these rotations with an opposite wing mirror.

Flares and Mumbo’s are run from the inside out sets -  where the perimeter player will pick his own man into the middle of the field and the inside player will pop out around the pick.

Mumbo’s have the player pop to open space.

Flares have the player curl around the pick. | The Ohio State Pairs offense is a motion offense that utilizes 3 groups of 2 players.

We will run these rotations with an opposite wing mirror.

Off Ball Picks are used from the perimeter position.  The player closest to the ball will cut inside and pick the backside player's defenseman.  The backside player will cut off of the pick. | The Ohio State Pairs offense is a motion offense that utilizes 3 groups of 2 players.

We will run these rotations with an opposite wing mirror.

Holds are used after Rotations to stay in dangerous space and prepare for the next Motion. 

In our example. the Lefty Wing Pair exchanges as the righty wing pair up picks.  The Lefty Wing Pair can Hold as the X Pair runs their picks behind.

Resets are used after Motions to reset into the perimeter or inside out formation

In our example -  the Righty Wing Pair executes an Up Pick and Slip.  Then -  as the X Pair is executing their pick game -  they will reset inside out. | The Ohio State Pairs offense is a motion offense that utilizes 3 groups of 2 players.

Picks can be run from the perimeter or inside out sets.  The key with good picks is to get inside of the defensive player you are trying to pick so that he can’t see the pick coming. 
We would like to set picks where the ball carrier and picking player can exit the pick to their strong hands. | The Ohio State Pairs offense is a motion offense that utilizes 3 groups of 2 players.

Up Picks and Down Picks can be run from the perimeter or inside out sets.  The key with good picks is to get inside of the defensive player you are trying to pick so that he can’t see the pick coming.  Once a pick is set -  the picker will always slip (roll) to the goal. | The Ohio State Pairs offense is a motion offense that utilizes 3 groups of 2 players.

Wing Mirrors are run from the inside out set.  If the dodger runs down the alley -  the crease player will mirror to the top.  If the dodger sweeps across the top -  the crease player will mirror out to the wing.  
If the defensive team slides from the crease -  it will leave the mirror player open often. | The Ohio State Pairs offense is a motion offense that utilizes 3 groups of 2 players.

The Attack Mirror Motion can occur when the X group is on the perimeter or inside out.  As one of the players dodges up the wing -  the partner must get to X to become the backward outlet. | The Ohio State Pairs offense is a motion offense that utilizes 3 groups of 2 players.

We will run these rotations with an opposite wing mirror.

The ball side player will clear through to the crease as the backside player will get to X as the forward outlet.

This is used mostly to set up a quick dodge to the backside -  or an inside-out pick to the strong hand. | The Ohio State Pairs offense is a motion offense that utilizes 3 groups of 2 players.

The ball side player will Fade to X to become the Forward Outlet while the backside player cuts the Middle.  

This is used mostly to set up quick ball movement to the backside or a reversal dodge back towards where the ball came from. | The Ohio State Pairs offense is a motion offense that utilizes 3 groups of 2 players.

We will run these rotations with an opposite wing mirror.

The Pop and Step Off Rotation is run out of the inside out set.  The player at X will pop ball side to be the forward outlet as the player on the crease steps off to be the 2nd pass option.  

If the ball is passed forward twice -  the player who stepped off is primed for a dodge to his strong hand.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=fL7vOjiUFsWXBVFy0jPE\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=3GGGQRB7leGwWjJO9OFM\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=3eWxerjyv3dYcTxU3U7Q\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=RYhplyJfI7MVkMfWpOsx\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=UrBJGahJyAaeSw0BKfVg\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=ne5TUw1r1SxM9Lr4v8Em\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=qMkFJLUBXLPn14OlPsqY\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=ioiVsXx9V1wLKUGcboQ7\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Kwj6fFoGU7xzkIRzYcRZ\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=TtfxoS7ZZuxxuvO3r65z\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Mn6vNPZnTw3weeXHVmKV\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=hjejzBTnJZNsaeYKheZ7\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Kk6qsdR1dA9mHKJYsgjY\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=0HIUEAZxFFKktIB9lQ6T\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=zwu7li9t9Z8yDIAt3Spv\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=mIsqglhesxzNJuat6onk\"" style=\""max-width: 100%\""></iframe>""]"
"Partner Passing Drill","104","104","","Partner Passing Drill","[]","","[]"
"2 Man Game - Pick Locations","105","105","","2 Man Game - Pick Locations","[]","","[]"
"Picking vs Zone Defense","106","106","Zone Offense","Picking vs Zone Defense","[]","","[]"
"Picks Behind Offense","107","107","Offense","#REF!","[""https://lacrosse.labradorsports.com/play?l=0PpHEcdEIwJWgcFmMXje"",""https://lacrosse.labradorsports.com/play?l=kDBYqof3ZS0QAixKlOma"",""https://lacrosse.labradorsports.com/play?l=tMXgdYCk41iOqzgZp0kM"",""https://lacrosse.labradorsports.com/play?l=fbtZPIMK33BttfjY8CEX"",""https://lacrosse.labradorsports.com/play?l=GTS1VOVhgq42mHOywKud"",""https://lacrosse.labradorsports.com/play?l=LNLQ61H4BafOrsCNetZn"",""https://lacrosse.labradorsports.com/play?l=ohaiStPKJd3jQHSJXKqm"",""https://lacrosse.labradorsports.com/play?l=go5X2xhKcnRvj6yTkkTu"",""https://lacrosse.labradorsports.com/play?l=ynYAurR622cu70ogIzG0"",""https://lacrosse.labradorsports.com/play?l=yTPjw7QWXSKlLFFJHVLI"",""https://lacrosse.labradorsports.com/play?l=ZtDUBl0hrpsovOezkz22"",""https://lacrosse.labradorsports.com/play?l=IS5oushQzBgxmMQcRSo4""]","The 3 variations of the Penn State Offense use a 2 Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The Picks Behind Offense utilizes a wide range of 2 Man Games Behind.

Picks Behind - These are the traditional picks behind -  used to generate advantages -  big little switches -  and to get hands free in dangerous space. | The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

Razor Picks are set right on GLE to gain a step to X or roll back over the top of. | The 3 variations of the Penn State Offense use a 2 Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The Picks Behind Offense utilizes a wide range of 2 Man Games Behind.

Slam Picks create difficult decisions of whether to switch or stay with by picking down on GLE. | The 3 variations of the Penn State Offense use a 2 Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The Picks Behind Offense utilizes a wide range of 2 Man Games Behind.  The motion up top is based on reading the defense and who wants to slide the separating to ensure that one defenseman can’t cover 2.

Draft Cuts to happen when one player cuts directly behind another player

Picks Behind - These are the traditional picks behind -  used to generate advantages -  big little switches -  and to get hands free in dangerous space. | The 3 variations of the Penn State Offense use a 2 Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The Picks Behind Offense utilizes a wide range of 2 Man Games Behind.  The motion up top is based on reading the defense and who wants to slide the separating to ensure that one defenseman can’t cover 2.
Players of top can fade to the backside to give dodgers room on the wing and look for skip lanes.

Picks Behind - These are the traditional picks behind -  used to generate advantages -  big little switches -  and to get hands free in dangerous space. | The 3 variations of the Penn State Offense use a 2 Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The Picks Behind Offense utilizes a wide range of 2 Man Games Behind.  The motion up top is based on reading the defense and who wants to slide the separating to ensure that one defenseman can’t cover 2.

Players on the crease can float out the Backside looking for a skip and then cut off nothing is there.

Picks Behind - These are the traditional picks behind -  used to generate advantages -  big little switches -  and to get hands free in dangerous space. | The 3 variations of the Penn State Offense use a 2 Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The Picks Behind Offense utilizes a wide range of 2 Man Games Behind.  The motion up top is based on reading the defense and who wants to slide the separating to ensure that one defenseman can’t cover 2.

Scissor Cuts happen when the two
Inside players cut one after the other - Nearside -  then Backside. Draft cuts happen when one player cuts right behind another cutting player.

Picks Behind - These are the traditional picks behind -  used to generate advantages -  big little switches -  and to get hands free in dangerous space. | The 3 variations of the Penn State Offense use a 2 Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The Picks Behind Offense utilizes a wide range of 2 Man Games Behind.  The motion up top is based on reading the defense and who wants to slide the separating to ensure that one defenseman can’t cover 2.

The seal and pop rotation happens when one player sets a pick on their own player -  not allowing them to cover another player that is cutting around them.

Picks Behind - These are the traditional picks behind -  used to generate advantages -  big little switches -  and to get hands free in dangerous space. | The 3 variations of the Penn State Offense use a 2 Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The Picks Behind Offense utilizes a wide range of 2 Man Games Behind.  The motion up top is based on reading the defense and who wants to slide the separating to ensure that one defenseman can’t cover 2.
A slip pick happens when a player moves like they’re going to set a pick for another player and then slips to the goal.

Picks Behind - These are the traditional picks behind -  used to generate advantages -  big little switches -  and to get hands free in dangerous space. | The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

Razor Picks are set right on GLE to gain a step to X or roll back over the top of.  The off ball players will make reads and cut using many tactics. | The 3 variations of the Penn State Offense use a 2 Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The Picks Behind Offense utilizes a wide range of 2 Man Games Behind.

Razor Picks (East West Picks in PDF are Picks set on GLE with the Dodger moving East to west.  The objective being to create separation to allow the dodger to curl the opposite side of the goal or roll back over the top of them.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=0PpHEcdEIwJWgcFmMXje\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=kDBYqof3ZS0QAixKlOma\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=tMXgdYCk41iOqzgZp0kM\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=fbtZPIMK33BttfjY8CEX\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=GTS1VOVhgq42mHOywKud\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=LNLQ61H4BafOrsCNetZn\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=ohaiStPKJd3jQHSJXKqm\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=go5X2xhKcnRvj6yTkkTu\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=ynYAurR622cu70ogIzG0\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=yTPjw7QWXSKlLFFJHVLI\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=ZtDUBl0hrpsovOezkz22\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=IS5oushQzBgxmMQcRSo4\"" style=\""max-width: 100%\""></iframe>""]"
"Power 1 Midfield Play (21-12)","109","109","Set Plays","Power 1 Midfield Play (21-12)","[]","","[]"
"Pushin P (Pressure) Man Down Defense","110","110","Man Down","Pressure Man Down","[]","","[]"
"How to Question Mark Dodge in Lacrosse","111","111","","How to Question Mark Dodge in Lacrosse","[]","","[]"
"Reading Man Down Defense in a 3-3","112","112","","Reading Man Down Defense in a 3-3","[]","","[]"
"Recruiting Anxiety","113","113","","Recruiting Anxiety","[]","","[]"
"RIT's Championship Tiger Zone","114","114","Defense","RIT House and 1 Zone","[""https://lacrosse.labradorsports.com/play?l=OLcwPEKD478uwo8j453A"",""https://lacrosse.labradorsports.com/play?l=an1W37412dYeVEbEzLc9"",""https://lacrosse.labradorsports.com/play?l=JvCpwg0ONqefTADHDSo6"",""https://lacrosse.labradorsports.com/play?l=Yz3YeXI9T0J6Kd5HC1rc"",""https://lacrosse.labradorsports.com/play?l=Ga1ttvpfmobVsE4N4pW9"",""https://lacrosse.labradorsports.com/play?l=j5ideji0Hm9URQLMKqJ9"",""https://lacrosse.labradorsports.com/play?l=lJC36CTAz34Zs8TmpiB1"",""https://lacrosse.labradorsports.com/play?l=LhGx2HOP3ZUCZ4WuWvlO"",""https://lacrosse.labradorsports.com/play?l=gesoRwiF2jMvPz5PkiSC"",""https://lacrosse.labradorsports.com/play?l=7xUvfMLTiigHysNPlXmT""]","RIT’s House and 1 Zone combines a House Man Down Defense with a single crease player inside. | As off ball players enter and exit the crease area -  the tiger must let house players know that the player he is defending is moving off the crease.  Likewise -  perimeter players must communicate to the Tiger that a player is moving to the crease for them to cover.  HOUSE Players must cover backside cutters until they know the Tiger has taken responsibility to cover them. | There are any options to play the ball at X depending on what you’d like to do with personnel. I don’t like the idea of leaving a player at X to look back up through the field -  but you may want to hold the pipes.

Rules
1) If you need to help and rotate -  do it.
2) The 1 and 3 Zones should be the primary players playing the wings. | This diagram depicts the perimeter zones occupied by the House Players.  The 
1 Zone is Red -  
2 Zone is Orange -  
3 Zone is Grey -  
6 Zone is Yellow 
4 Zone is Green

All of these zones will help backside on the crease and rotate to mitigate threats. | When a ball carrier took the ball from one zone to the other -  the players in the House would pass the player off like a zone and then rotate if necessary behind them.

This is a play that Union used often. | As the ball swings in a 2-3-1 -  we have the option to play the ball at X.  If we don’t want to play the ball at X as the ball is swinging -  the 4 and 6 zones will hold their positions. | As the ball swings in a 2-3-1 -  we have the option to play the ball at X.  If we want to put pressure on -  who will play it will depend on whether the ball side low zone got pulled to the wing or not.  In this example -  the low zone gets pulled up and the opposite side moves to play the ball at X. | This diagram shows how the RIT House and 1 Zone matches up against a 3-1-2 swinging the ball.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=OLcwPEKD478uwo8j453A\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=an1W37412dYeVEbEzLc9\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=JvCpwg0ONqefTADHDSo6\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Yz3YeXI9T0J6Kd5HC1rc\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Ga1ttvpfmobVsE4N4pW9\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=j5ideji0Hm9URQLMKqJ9\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=lJC36CTAz34Zs8TmpiB1\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=LhGx2HOP3ZUCZ4WuWvlO\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=gesoRwiF2jMvPz5PkiSC\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=7xUvfMLTiigHysNPlXmT\"" style=\""max-width: 100%\""></iframe>""]"
"Running The Box (Substitutions)","115","115","Substitutions","Running The Box (Substitutions)","[]","","[]"
"Wheel Rotations vs Zone Defense","116","116","Zone Offense","Wheels and Rotations","[""https://lacrosse.labradorsports.com/play?l=sbDEiaVjdMK129542lWL"",""https://lacrosse.labradorsports.com/play?l=McrVEuwmHGlKUtnS8xe3"",""https://lacrosse.labradorsports.com/play?l=gw5mky38PDrMHbig58Vi"",""https://lacrosse.labradorsports.com/play?l=pA7SqwQEp0yr7jqUJiZc""]","This is a play in the 1-4–1 carry step off offense.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=sbDEiaVjdMK129542lWL\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=McrVEuwmHGlKUtnS8xe3\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=gw5mky38PDrMHbig58Vi\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=pA7SqwQEp0yr7jqUJiZc\"" style=\""max-width: 100%\""></iframe>""]"
"Rutgers 3-3 Flip and Swing Man Up Plays","117","117","Man Up","Rutgers 3-3 Flip and Swing x2","[]","","[]"
"Rutgers Set Play (21-12)","118","118","Offense","Rutgers Set Play (21-12)","[]","","[]"
"Saints Passing Drill","119","119","","Saints Passing Drill","[]","","[]"
"Salisbury Call Drill (Slide and Recover)","120","120","","Salisbury Call Drill (Slide and Recover)","[]","","[]"
"Salisbury Low Shallow Cut Offense vs Zone Defense","121","121","Zone Offense - Set Plays","Salisbury Low Shallow Cut Look","[""https://lacrosse.labradorsports.com/play?l=dxSIHkHzlPN4oZNU13Tl""]","This is a play in the 1-4–1 carry step off offense.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=dxSIHkHzlPN4oZNU13Tl\"" style=\""max-width: 100%\""></iframe>""]"
"Salmon Bellies Slip Shooting Drill","122","122","","Salmon Bellies Slip Shooting Drill","[]","","[]"
"Seawolves Drill Off Ball offense and Defense Mens and Womens Lacrosse","123","123","","Seawolves Drill Off Ball offense and Defense Mens and Womens Lacrosse","[]","","[]"
"Short 1v1's","124","124","","Short 1v1's","[]","","[]"
"Sideways West Genny Drill","125","125","","Sideways West Genny Drill","[]","","[]"
"Skeleton Shooting","126","126","","Skeleton Shooting","[]","","[]"
"Slow Break Offense","127","127","Transition Offense","Slow Break (6v5)","[""https://lacrosse.labradorsports.com/play?l=sVf7Rc6eXKPthTr9PIo2"",""https://lacrosse.labradorsports.com/play?l=aGijN2J6WoDEazv2J8MK"",""https://lacrosse.labradorsports.com/play?l=AuUMhw5qrYuhMjAdoTU6"",""https://lacrosse.labradorsports.com/play?l=MyVyYL4OunKyny6KZjBM"",""https://lacrosse.labradorsports.com/play?l=uLyavMaP7bmRbIwzzoky""]","This slow break utilizes aspects of the 21-12 offense and sets teams up to Dodge if a 21-12 Set right away. | This Slow Break Offense will allow you to get your offensive personnel on the field while creating strong hand feed and finish looks!

Remember that the most important part of this Slow Break is That we get a good possession.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=sVf7Rc6eXKPthTr9PIo2\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=aGijN2J6WoDEazv2J8MK\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=AuUMhw5qrYuhMjAdoTU6\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=MyVyYL4OunKyny6KZjBM\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=uLyavMaP7bmRbIwzzoky\"" style=\""max-width: 100%\""></iframe>""]"
"Choosing The Right Stick","128","128","","Choosing The Right Stick","[]","","[]"
"What Is Lacrosse","129","129","","What Is Lacrosse","[]","","[]"
"Spike Stickwork Drill","130","130","","Spike Stickwork Drill","[]","","[]"
"Star and Swing It Passing","131","131","","Star and Swing It Passing","[]","","[]"
"Star Drill","132","132","","Star Drill","[]","","[]"
"How to Do a Step Back Throw Back","133","133","","How to Do a Step Back Throw Back","[]","","[]"
"Subbing Through The Midline","134","134","Substitutions","Subbing Through Midline","[""https://lacrosse.labradorsports.com/play?l=DUGfG5vbthIGowGH6kIA"",""https://lacrosse.labradorsports.com/play?l=dt0AqzjP91nv5KPM7VEP"",""https://lacrosse.labradorsports.com/play?l=qi7qI4y4C7qR6QRQuABb"",""https://lacrosse.labradorsports.com/play?l=5CNU7g21al218zS9Wgdl""]","The basic steps to sub through the midline.
Defenseman for new Middy through box on sides.
New Middy for old Middy through midline.
Old Middy for Defenseman through box. | The basic steps to sub through the midline.
Defenseman for new Middy through box on sides.
New Middy for old Middy through midline.
Old Middy for Defenseman through box. 

If the other team is subbing through the midline and you want to sub with them -  Our team will need to match their team step for step.
Attackman for new Middy through box on sides.
New Middy for old Middy through midline with the it middies.
Old Middy for Attackman through box. | If our opponents are subbing through the midline with us -  we can use a Pick to try to gain a step or even keep them on the field.

Defenseman for new Middy through box on sides.

New Middy will pick for another Middy (to get his own defender to show to the ball) and then sprint through midline.

If he gains a step -  we can pass to the new middy who should generate a 6 v 5 Break
.
If the other midfielder helps the ball -  we will have trapped an offensive or face off player on defense.

Old Midfielder for Defenseman through box.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=DUGfG5vbthIGowGH6kIA\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=dt0AqzjP91nv5KPM7VEP\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=qi7qI4y4C7qR6QRQuABb\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=5CNU7g21al218zS9Wgdl\"" style=\""max-width: 100%\""></iframe>""]"
"Swing It Drill","135","135","","Swing It Drill","[]","","[]"
"Dodges for Defensemen in Lacrosse","136","136","","Dodges for Defensemen in Lacrosse","[]","","[]"
"2 Man Game - The Perfect Pick","137","137","2 Man Ideas","Picking","[]","","[]"
