,,,,This column denotes where the drills will take place.   Please add a section for “Location of Drills:” to the practice description and list the names of each location.,These columns denote which equipment a player will need to do the training that day.  Please add a section for “Equipment Needed:” into the practice description and list the names of what is needed. ,,,,,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Attack 7,Attack 8,Attack 9,Attack 10,Attack 11,Attack 12,Midfield 12,Midfield 11,Midfield 10,Midfield 9,Midfield 8,Midfield 7,Midfield 6,Midfield 5,Midfield 4,Midfield 3,Midfield 2,Midfield 1,,,,,,,,Defense 1,Defense 2,Defense 3,Defense 4,Defense 5,Defense 6,Defense 7,Defense 8,Defense 9,Defense 10,Defense 11,Defense 12
Passing,Extended Swat The Fly Drill,https://vimeo.com/995813655,<p>Extended Swat The Fly Drill</p><br>,Behind The Goal,X,X,,,,,,,,,,,,,,,,,,10,,,,2,2,,,8,10,"<iframe src=""https://player.vimeo.com/video/995813655"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 2,F,F,F,,,,,,,,,,,,
Passing,Long Passing Drill,https://vimeo.com/1006972824,<p>Long Passing Drill</p><br>,Across The Field,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1006972824"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,S,Drill1,S,F,,,,,,,,,,,,,
Passing,Paint The Pipe Drill,https://vimeo.com/995814874,<p>Paint The Pipe Drill</p><br>,Front of Goal,X,X,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/995814874"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 3,F,F,F,,,,,,,,,,,,
Passing,Punch and Pull Passing Drill,https://vimeo.com/995815050,<p>Punch and Pull Passing Drill</p><br>,Behind The Goal,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"<iframe src=""https://player.vimeo.com/video/995815050"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Beginner 1,F,F,F,,,,,,,,,,,,
Passing,Step Away Passing Drill,https://vimeo.com/995815695,<p>Step Away Passing Drill</p><br>,Behind The Goal,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"<iframe src=""https://player.vimeo.com/video/995815695"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 1,F,F,F,,,,,,,,,,,,
Passing,Swat The Fly - Inside Hand Passing Drill,https://vimeo.com/995814508,<p>Swat The Fly - Inside Hand Passing Drill</p><br>,Behind The Goal,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/995814508"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 4,F,F,F,,,,,,,,,,,,
Passing,Swat The Fly Drill - Behind The Goal,https://vimeo.com/995815775,<p>Swat The Fly Drill - Behind The Goal</p><br>,Behind The Goal,X,X,,,,,,,,,,,,,,,,,1,,1,,3,1,1,,,1,9,"<iframe src=""https://player.vimeo.com/video/995815775"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 1,F,F,F,,,,,,,,,,,,
Rocker / Hesitation,Explode Speed Change Hesitation Drill,https://vimeo.com/1000499807,<p>Explode Speed Change Hesitation Drill</p><br>,East West Dodge Setup,X,X,X,,,,,,,,,,,,,,,,,,6,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1000499807"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 1,F,S,F,,,,,,,,,,,,
Rocker / Hesitation,Rocker to Roll Dodge Drill,https://vimeo.com/998919015,<p>Rocker to Roll Dodge Drill</p><br>,East West Dodge Setup,X,X,X,,,,,,,,,,,,,,,,,,10,,,,14,,,,,"<iframe src=""https://player.vimeo.com/video/998919015"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 5,F,S,A,,,,,,,,,,,,
Rocker / Hesitation,Skip Step Hesitation Drill,https://vimeo.com/1000499893,<p>Skip Step Hesitation Drill</p><br>,East West Dodge Setup,X,X,X,,,,,,,,,,,,,,,,,,7,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1000499893"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 2,F,S,F,,,,,,,,,,,,
Rocker / Hesitation,Step Away ReAttack Drill,https://vimeo.com/1000499951,<p>Step Away ReAttack Drill</p><br>,East West Dodge Setup,X,X,X,,,,,,,,,,,,,,,,,,8,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1000499951"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 4,F,S,F,,,,,,,,,,,,
Rocker / Hesitation,True Rocker Drill,https://vimeo.com/1000500048,<p>True Rocker Drill</p><br>,East West Dodge Setup,X,X,X,,,,,,,,,,,,,,,,,,9,,,,12,,,,,"<iframe src=""https://player.vimeo.com/video/1000500048"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 3,F,S,F,,,,,,,,,,,,
Roll Dodge,3 Step Face Dodge to Roll Dodge Drill,https://vimeo.com/995813809,<p>3 Step Face Dodge to Roll Dodge Drill</p><br>,East West Dodge Setup,X,X,X,,,,,,,,,,,,,,,,,,,,,,15,,,,,"<iframe src=""https://player.vimeo.com/video/995813809"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 3,F,S,F,,,,,,,,,,,,
Roll Dodge,Cross Over Step Roll Dodge to Shot on the Run Drill,https://vimeo.com/998918912,<p>Cross Over Step Roll Dodge to Shot on the Run Drill</p><br>,East West Dodge Setup,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,"<iframe src=""https://player.vimeo.com/video/998918912"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 1,F,S,F,,,,,,,,,,,,
Roll Dodge,Rebound Roll Dodge Drill,https://vimeo.com/999673005,<p>Rebound Roll Dodge Drill</p><br>,East West Dodge Setup,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/999673005"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 2,F,S,A,,,,,,,,,,,,
Roll Dodge,Sell the Shot Roll Dodge Drill,https://vimeo.com/998919094,<p>Sell the Shot Roll Dodge Drill</p><br>,East West Dodge Setup,X,X,X,,,,,,,,,,,,,,,,,,14,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/998919094"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 2,F,F,A,,,,,,,,,,,,
Roll Dodge,Stick Away Turn and Switch Hands Drill,https://vimeo.com/998918868,<p>Stick Away Turn and Switch Hands Drill</p><br>,Anywhere,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,13,"<iframe src=""https://player.vimeo.com/video/998918868"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 1,F,F,F,,,,,,,,,,,,
Shooting on the Run,Jump Shot on the Run Drill,https://vimeo.com/995899368,<p>Jump Shot on the Run Drill</p><br>,Around the Goal,X,X,X,,,,,,,,,,,,,,,,5,,,,,,,,16,,,"<iframe src=""https://player.vimeo.com/video/995813655"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 4,F,S,F,,,,,,,,,,,,
Shooting on the Run,Matt Brown Shooting Drill,https://vimeo.com/989570487,<p>Matt Brown Shooting Drill</p><br>,Behind The Goal,X,X,X,,,,,,,,,,,,,,,,2,,,,4,,3,,,2,,"<iframe src=""https://player.vimeo.com/video/989570487"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 1,F,S,F,,,,,,,,,,,,
Shooting on the Run,Richmond Step and Shoot on the Run Drill,https://vimeo.com/995815179,<p>Richmond Step and Shoot on the Run Drill</p><br>,Behind The Goal,X,X,X,,,,,,,,,,,,,,,,4,,,,6,,4,,,4,,"<iframe src=""https://player.vimeo.com/video/995815179"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 2,F,S,F,,,,,,,,,,,,
Shooting on the Run,Shooting on the Run - No Shooting Cradle - Quick Release Drill,https://vimeo.com/995814803,<p>Shooting on the Run - No Shooting Cradle - Quick Release Drill</p><br>,Around the Goal,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/995814803"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 4,F,S,A,,,,,,,,,,,,
Shooting on the Run,Shooting on the Run Around a Curve Drill - Across The Top,https://vimeo.com/995813416,<p>Shooting on the Run Around a Curve Drill - Across The Top</p><br>,Around the Goal,X,X,X,,,,,,,,,,,,,,,,7,,,,9,,5,,,6,,"<iframe src=""https://player.vimeo.com/video/995813416"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 1,F,S,F,,,,,,,,,,,,
Shooting on the Run,Shooting on the Run Around a Curve Drill - Down The Alley,https://vimeo.com/995813504,<p>Shooting on the Run Around a Curve Drill - Down The Alley</p><br>,Around the Goal,X,X,X,,,,,,,,,,,,,,,,3,,,,5,,,,,3,,"<iframe src=""https://player.vimeo.com/video/995813504"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,S,Drill 2,F,S,F,,,,,,,,,,,,
Shooting on the Run,Shooting on the Run Around a Curve Drill - Up The Hash / Turn The Corner,https://vimeo.com/995813569,<p>Shooting on the Run Around a Curve Drill - Up The Hash / Turn The Corner</p><br>,Around the Goal,X,X,X,,,,,,,,,,,,,,,,6,,,,8,,6,,,7,,"<iframe src=""https://player.vimeo.com/video/995813569"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 3,S,S,F,,,,,,,,,,,,
Shooting on the Run,T2 Shooting on the Run Footwork Drill,https://vimeo.com/995815891,<p>T2 Shooting on the Run Footwork Drill</p><br>,Anywhere,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,5,,"<iframe src=""https://player.vimeo.com/video/995815891"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 3,F,S,F,,,,,,,,,,,,
Shooting with Time and Room ,Answer Move to Time and Room - Time and Room Shooting Drill,https://vimeo.com/995813316,<p>Answer Move to Time and Room - Time and Room Shooting Drill</p><br>,Wing Right or Left,X,X,X,,,,,,,,,,,,,,,,,,,,,13,,,,13,,"<iframe src=""https://player.vimeo.com/video/995813316"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 3,F,S,A,,,,,,,,,,,,
Shooting with Time and Room ,Catch Across Body - Time and Room Shooting Drill,https://vimeo.com/1002923636,<p>Catch Across Body - Time and Room Shooting Drill</p><br>,Wing Right or Left,X,X,,X,,,,,,,,,,,,,,,,,,,,6,,,,12,,"<iframe src=""https://player.vimeo.com/video/1002923636"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 5,F,S,A,,,,,,,,,,,,
Shooting with Time and Room ,Pop to Shot - Time and Room Shooting Drill,https://vimeo.com/995814969,<p>Pop to Shot - Time and Room Shooting Drill</p><br>,Wing Right or Left,X,X,X,,,,,,,,,,,,,,,,,,,,,5,7,,,11,,"<iframe src=""https://player.vimeo.com/video/995814969"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 1,F,S,A,,,,,,,,,,,,
Shooting with Time and Room ,Roll Dodge to Set Feet - Time and Room Shooting Drill,https://vimeo.com/995815254,<p>Roll Dodge to Set Feet - Time and Room Shooting Drill</p><br>,Behind The Goal,X,X,X,,,,,,,,,,,,,,,,,,11,,,,,,,14,,"<iframe src=""https://player.vimeo.com/video/995815254"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 4,F,S,A,,,,,,,,,,,,
Shooting with Time and Room ,Shuffle Step Time and Room Shooting Drill - Behind The Goal,https://vimeo.com/995815371,<p>Shuffle Step Time and Room Shooting Drill - Behind The Goal</p><br>,Behind The Goal,X,X,X,,,,,,,,,,,,,,,,,8,,,,3,,,,9,11,"<iframe src=""https://player.vimeo.com/video/995815371"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 2,F,S,F,,,,,,,,,,,,
Shooting with Time and Room ,Side Arm Extended Swat The Fly Shooting Drill,https://vimeo.com/1010347821,<p>Side Arm Extended Swat The Fly Shooting Drill</p><br>,Behind The Goal,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010347821"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Side Arm 2,F,S,,,,,,,,,,,,,
Shooting with Time and Room ,Side Arm Shuffle and Shoot Drill,https://vimeo.com/1007726527,<p>Side Arm Shuffle and Shoot Drill</p><br>,Behind The Goal,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1007726527"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Side Arm 3,F,S,,,,,,,,,,,,,
Shooting with Time and Room ,Sidearm Swat The Fly Shooting Drill,https://vimeo.com/1007664485,<p>Sidearm Swat The Fly Shooting Drill</p><br>,Behind The Goal,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1007664485"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Side Arm 1,F,S,,,,,,,,,,,,,
Shooting with Time and Room ,Split to Set Feet - Time and Room Shooting Drill,https://vimeo.com/995815554,<p>Split to Set Feet - Time and Room Shooting Drill</p><br>,Behind The Goal,X,X,,,,,,,,,,,,,,,,,,,,,11,4,,,,10,,"<iframe src=""https://player.vimeo.com/video/995815554"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 2,F,S,A,,,,,,,,,,,,
Shooting with Time and Room ,Swat The Fly - Extended - Time and Room Shooting Drill,https://vimeo.com/995813655,<p>Swat The Fly - Extended - Time and Room Shooting Drill</p><br>,Behind The Goal,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/995813655"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 1,F,S,F,,,,,,,,,,,,
Shooting with Time and Room ,Underhand Extended Swat The Fly Shooting Drill,https://vimeo.com/1010346356,<p>Underhand Extended Swat The Fly Shooting Drill</p><br>,Behind The Goal,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010346356"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Underhand 2,F,S,,,,,,,,,,,,,
Shooting with Time and Room ,Underhand Shuffle and Shoot Drill,https://vimeo.com/1007726431,<p>Underhand Shuffle and Shoot Drill</p><br>,Behind The Goal,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1007726431"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Underhand 3,F,S,,,,,,,,,,,,,
Shooting with Time and Room ,Underhand Swat The Fly Shooting Drill,https://vimeo.com/1007664559,<p>Underhand Swat The Fly Shooting Drill</p><br>,Behind The Goal,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1007664559"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Underhand 1,F,S,,,,,,,,,,,,,
Slide Em Dodging,Slide Em Down - 2 Jab Explode Over The Top Drill,https://vimeo.com/996263742,<p>Slide Em Down - 2 Jab Explode Over The Top Drill</p><br>,East West Dodge Setup,X,X,X,,,,,,,,,,,,,,,,12,,,,16,,,,,,,"<iframe src=""https://player.vimeo.com/video/996263742"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Slide Down Drill 4,F,S,F,,,,,,,,,,,,
Slide Em Dodging,Slide Em Down - Explode Over The Top Drill,https://vimeo.com/1007664383,<p>Slide Em Down - Explode Over The Top Drill</p><br>,East West Dodge Setup,X,X,X,,,,,,,,,,,,,,,,11,,,,,,11,,,,,"<iframe src=""https://player.vimeo.com/video/1007664383"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Slide Down Drill 2,F,S,,,,,,,,,,,,,
Slide Em Dodging,Slide Em Down - Explode Underneath Drill,https://vimeo.com/996263664,<p>Slide Em Down - Explode Underneath Drill</p><br>,East West Dodge Setup,X,X,X,,,,,,,,,,,,,,,,9,,,,,,10,,,,,"<iframe src=""https://player.vimeo.com/video/996263664"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Slide Down Drill 1,F,S,F,,,,,,,,,,,,
Slide Em Dodging,Slide Em Down - Jab and Go Underneath Drill,https://vimeo.com/996263566,<p>Slide Em Down - Jab and Go Underneath Drill</p><br>,East West Dodge Setup,X,X,X,,,,,,,,,,,,,,,,10,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/996263566"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Slide Down Drill 3,F,S,F,,,,,,,,,,,,
Slide Em Dodging,Slide Em Down - Jab to Keep Em Honest Drill,https://vimeo.com/1007664325,<p>Slide Em Down - Jab to Keep Em Honest Drill</p><br>,East West Dodge Setup,X,X,X,,,,,,,,,,,,,,,,8,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1007664325"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Slide Drill .5,F,S,,,,,,,,,,,,,
Slide Em Dodging,Slide Em Up - 3 Step Split Underneath.,https://vimeo.com/996264010,<p>Slide Em Up - 3 Step Split Underneath.</p><br>,East West Dodge Setup,X,X,X,,,,,,,,,,,,,,,,15,,,,17,,,,,,,"<iframe src=""https://player.vimeo.com/video/996264010"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Slide Up Drill 4,F,S,A,,,,,,,,,,,,
Slide Em Dodging,Slide Em Up - Explode Over The Top,https://vimeo.com/996263840,<p>Slide Em Up - Explode Over The Top</p><br>,East West Dodge Setup,X,X,X,,,,,,,,,,,,,,,,13,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/996263840"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Slide Up Drill 1,F,S,F,,,,,,,,,,,,
Slide Em Dodging,Slide Em Up - Explode Underneath Dodging Drill,https://vimeo.com/1007664421,<p>Slide Em Up - Explode Underneath Dodging Drill</p><br>,East West Dodge Setup,X,X,X,,,,,,,,,,,,,,,,14,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1007664421"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Slide Up Drill 2,F,S,,,,,,,,,,,,,
Split Dodge,Foot Fire 3 Step Split Dodge Drill,https://vimeo.com/995904766,<p>Foot Fire 3 Step Split Dodge Drill</p><br>,North South Dodge,X,X,,,,,,,,,,,,,,,,,,,,14,14,,,,,,,"<iframe src=""https://player.vimeo.com/video/995904766"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 3,F,S,A,,,,,,,,,,,,
Split Dodge,Foot Fire Single Jab Split Dodge Drill,https://vimeo.com/995814100,<p>Foot Fire Single Jab Split Dodge Drill</p><br>,North South Dodge,X,X,,,,,,,,,,,,,,,,,,,,,13,,,,,,,"<iframe src=""https://player.vimeo.com/video/995814100"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 2,F,S,A,,,,,,,,,,,,
Split Dodge,Quick Switches Hand Speed Drill,https://vimeo.com/1002923934,<p>Quick Switches Hand Speed Drill</p><br>,Anywhere,X,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,"<iframe src=""https://player.vimeo.com/video/1002923934"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 2,F,S,F,,,,,,,,,,,,
Split Dodge,Single Jab Split Dodge Drill,https://vimeo.com/995815475,<p>Single Jab Split Dodge Drill</p><br>,North South Dodge,X,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,"<iframe src=""https://player.vimeo.com/video/995815475"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 1,F,S,A,,,,,,,,,,,,
Split Dodge,Standing Switches - Up to Pass Drill,https://vimeo.com/995815631,<p>Standing Switches - Up to Pass Drill</p><br>,Anywhere,X,,,,,,,,,,,,,,,,,,,,,,10,,,,,,3,"<iframe src=""https://player.vimeo.com/video/995815631"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 1,F,S,F,,,,,,,,,,,,
